Continent,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Component,Energy_type
Central & South America,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Venezuela,0.216834845,0.217452776,0.214583812,0.211714847,0.205476689,0.179405896,0.144831199,0.109697422,0.093263406,0.076829391,0.056231699,0.045774057,0.035630867,0.025088094,0.022839807,0.021956996,0.021101906,0.012013545,0.008682775,0.00480941,production,coal
North America,Canada,1.34426439,1.245722275,1.331778023,1.430156288,1.433636986,1.538012081,1.395955484,1.275465931,1.406127621,1.407026753,1.395202272,1.480125647,1.416396127,1.285989862,1.22024172,1.291085727,1.217667588,1.160431594,1.003463954,1.045295139,production,coal
North America,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
North America,Mexico,0.231922087,0.252635449,0.27702274,0.284518401,0.317625997,0.342414465,0.305316222,0.269104789,0.323136892,0.412113555,0.332596205,0.320666491,0.323819965,0.241205327,0.290725037,0.276650911,0.252953928,0.207907905,0.180383683,0.173279657,production,coal
North America,Saint P0rre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
North America,United States,22.73223698,22.09365226,22.85209886,23.18518869,23.78950986,23.49274208,23.85136787,21.6237213,22.03822612,22.22140689,20.67689297,20.00130387,20.2857053,17.94609454,14.66708867,15.62537705,15.36344203,14.25576303,10.70321416,11.60829126,production,coal
Europe,Albania,0.00013994,0.000541102,0.000541102,0.000419821,0.000419821,0.000419821,0.000569091,9.33E-05,9.33E-05,4.66E-05,6.53E-05,8.40E-05,0.000155334,0.000226703,0.000130611,0.00042915,0.000914277,0.001135556,0.001184828,0.002246032,production,coal
Europe,Austria,0.019405585,0.015832318,0.003229683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Bosnia and Herzegovina,0.115622863,0.103988477,0.081767102,0.083599483,0.085481697,0.088929767,0.098024611,0.09720613,0.092698429,0.102977104,0.101067211,0.090430188,0.090572066,0.08892256,0.094093162,0.104283154,0.104076723,0.096884826,0.092667414,0.098401056,production,coal
Europe,Bulgaria,0.181623651,0.190565918,0.184883634,0.172388195,0.179250216,0.198621637,0.200967149,0.189777099,0.205267256,0.259179142,0.2333436,0.199794393,0.213287847,0.243602608,0.212256479,0.23682489,0.211202881,0.195414221,0.155619282,0.197428505,production,coal
Europe,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Czechia,1.038210181,1.047222991,1.050008769,1.016415567,1.030786903,1.026247724,0.986493038,0.924501291,0.904705882,0.951457787,0.915242677,0.802615324,0.710945023,0.710588086,0.670330785,0.643560943,0.608592121,0.561804853,0.425663984,0.42560446,production,coal
Europe,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Former Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Europe,Former Serbia and Montenegro,0.527716458,0.553567666,0.565634311,0.500216051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
